_addr_key,state,city,country,address_raw,permits_count,first_seen_applied_date,last_seen_applied_date,record_ids_sample,statuses_sample,latest_record_id,latest_status,latest_permit_type,latest_description,latest_valuation_usd,latest_contractor,latest_owner,capacity_mw,source,source_url,covered
ca||los angeles||7401 w sunset blvd 90046,CA,Los Angeles,United States,"7401 W SUNSET BLVD, 90046",1,4/24/2023,4/24/2023,23016-10000-12713,Permit Finaled,23016-10000-12713,Permit Finaled,Bldg-Alter/Repair - Commercial,"ePLAN Install (3) new AIR antennas, install (1) new DC6 Surge Suppressor with (2) DC and (1) Fiber, retrofit existing roof framing and wood pole, remove and replace equipment within existing lease area.",20000,,,TBD,permit,TBD,TRUE
tn||chattanooga||4403 rossville blvd,TN,Chattanooga,United States,4403  ROSSVILLE BLVD,1,3/16/2023,3/16/2023,E-23-553,Active,E-23-553,Active,Commercial,Installing and building a data center,,,,TBD,permit,TBD,TRUE
tx||austin||9010 north lake creek pkwy austin tx 787170,TX,Austin,United States,"9010 NORTH LAKE CREEK PKWY, AUSTIN TX 78717.0",2,3/1/2023,3/1/2023,"2023-036314 EP, 2023-036314 BP",Expired,2023-036314 EP,Expired,Electrical Permit,Electrical Connections for UPS and Data Center,,Schmidt Electric Co Inc,,TBD,permit,TBD,TRUE
ca||los angeles||5750 w wilshire blvd 1st flr 90036,CA,Los Angeles,United States,"5750 W WILSHIRE BLVD 1st FLR, 90036",1,2/24/2023,2/24/2023,23016-10000-04863,Permit Finaled,23016-10000-04863,Permit Finaled,Bldg-Alter/Repair - Commercial,"Eplan. Interior tenant improvement on ground floor of existing office building, including demolition of existing walls and doors and construction of a new data center (approximately 1,741 SF).""COMPLY WITH DEPARTMENT ORDER effective date 06/23/2014. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE""",2000000,,,TBD,permit,TBD,TRUE
ny||buffalo||49 hopkins,NY,Buffalo,United States,49 HOPKINS,1,2/23/2023,2/23/2023,TRST23-9564597,,TRST23-9564597,,TOWERSATT,"INSTALLATION OF "" AT&amp;T "" GROUND AND ANTENNA EQUIPMENT AT EXISTING TELECOMMUNICATIONS FACILITY.<div><br><div>&nbsp;GROUND LEVEL SCOPE OF WORK: Ã‚Â· REMOVE EXISTING 170AH BATTERIES Ã‚Â· INSTALL (1) BASEBAND 6630 UNIT IN EXISTING FIF RACK Ã‚Â· INSTALL (1) BASEBAND 6648 UNIT IN EXISTING FIF RACK Ã‚Â· INSTALL (4) 48V EMERSON RECTIFIERS IN EXISTING POWER PLANT Ã‚Â· INSTALL (1) DC12 MODULES IN EXISTING SURGE RACK Ã‚Â· INSTALL (5) STRINGS 180AHS BATTERIES IN EXISTING BATTERY RACK.</div><div><br></div><div>&nbsp;ANTENNA LEVEL SCOPE OF WORK: Ã‚Â· REMOVE (6) ANTENNAS Ã‚Â· REMOVE (2) RAYCAP DC6 Ã‚Â· REMOVE (2) 7/8"" COAX CABLES Ã‚Â· REMOVE (3) EXISTING ANTENNA MOUNTS Ã‚Â· INSTALL (3) 12' CSOTF ANTENNA BOOMS Ã‚Â· INSTALL (9) NEW ANTENNAS Ã‚Â· INSTALL (3) NEW RRUS Ã‚Â· INSTALL (2) NEW RAYCAP DC9S Ã‚Â· INSTALL (2) NEW 6AWG DC CABLES Ã‚Â· INSTALL (1) NEW FIBER TRUNK.</div></div><div><br></div><div>*** PLANS FILED THROUGH IDT ***&nbsp; &nbsp;&nbsp;</div>",25000,KEVIN DORAN,,TBD,permit,TBD,TRUE
ca||los angeles||200 e bauchet st 90012,CA,Los Angeles,United States,"200 E BAUCHET ST, 90012",1,1/26/2023,1/26/2023,21016-10001-54974,Permit Finaled,21016-10001-54974,Permit Finaled,Bldg-Alter/Repair - Commercial,Supplemental permit for Proposed  suspended ceiling system to existing computer room/office data center.,978000,,,TBD,permit,TBD,TRUE
la||new orleans||4516 palmyra st new orleans la 701190,LA,New Orleans,United States,"4516 Palmyra St, New Orleans LA 70119.0",1,1/19/2023,1/19/2023,23-01715-SERV,Meter Release,23-01715-SERV,Meter Release,Electrical Service / Circuit / Feeder,"Install new 200 amp service. Includes meter can, feeder stack, and 200 amp main panel. Install 20 amp circuit for general outlets. Install 20 amp circuit for general lights. Install 20 amp circuit for bathroom. Install 30 amp for condenser. Install 60 am circuit for air handler. Install 30 amp circuit for water heater.",3300,Loretta Helene Marino,,TBD,permit,TBD,TRUE
ny||nyc||90-36 149 street,NY,NYC,United States,90-36 149 STREET,1,11/28/2022,11/28/2022,Q00780486-I1,Q00780486-I1-AN,Q00780486-I1,Q00780486-I1-AN,Antenna,"Replacement of existing antennas; installation of new DC2 on the rooftop (AT&T - 10097411) as per plans. All work is in compliance with TPPN 5/98 & BB 11/21. No change to use, egress or occupancy.",19999.98,OVERLAND CONTRACTING INC,ZARA REALTY HOLDING CORP.,TBD,permit,TBD,TRUE
il||chicago||3008 e cheltenham pl,IL,Chicago,United States,3008 E CHELTENHAM PL,1,11/9/2022,11/9/2022,100989261,,100989261,,PERMIT - NEW CONSTRUCTION,"REMOVE AND REPLACE ANTENNAS, RADIOS, AND ANCILLARY EQUIPMENT AT EXISTING TELECOMMUNICATION FACILITY ;  REMOVE (6) EXISTING ANTENNAS COMMSCOPE SBNHH-1 D658 REMOVE (3) EXISTING 700 RRUS11 812 ; REMOVE (3) EXISTING RAYCAP DC6-48-60-18-8C ; REMOVE (6) EXISTING UMTS DIPLEXERS CM1007-DBPXBC-003 & INSTALL (6) NEW ANTENNAS (LYP.2 PER SECTORS) ; INSTALL (3) NEW DB RRUS 4449 85/812 (LYP.1 PER SECTORS) INSTALL (2) NEW 6AWG DC POWER CABLES ; INSTALL (3) NEW RAYCAP DC9-48-60-24-PC16-EV ; RELOCATE (1) EXISTING ANTENNA IN GAMMA SECTOR RELOCATE (3) EXISTING RRUS FROM POS.4 TO POS.1 RELOCATE (3) EXISTING RRUS FROM POS.2 TO POS.4 ; 6 TOTAL ANTENNAS.",,,MATTHEW FITZGIBBON,TBD,permit,TBD,TRUE
ca||los angeles||15303 w ventura blvd 914030,CA,Los Angeles,United States,"15303 W VENTURA BLVD, 91403.0",1,11/8/2022,11/8/2022,22016-10000-36185,Issued,22016-10000-36185,Issued,Bldg-Alter/Repair - Commercial,"eplan AT&T Mobility proposes to modify an existing wireless facility. The scope will consist of the following:ANTENNA LEVEL: -RELOCATE 2 PANEL ANTENNAS from POS 3-POS4/ 2 PANEL ANTENNAS from POS 4- POS 5 (1 per sector)-INSTALL 2 AIR 6419 B77G ANTENNAS/ HORIZONTAL UNINSTRUT MOUNT-Antenna edge to edge separation: 30""/12""/30""/36""EQUIPMENT LEVEL:INSTALL 1 (N) DC12 Surge Suppression Unit Mounted on (E) LTE equipment rack",15000,,,TBD,permit,TBD,TRUE
ca||los angeles||4727 n sepulveda blvd 914030,CA,Los Angeles,United States,"4727 N SEPULVEDA BLVD, 91403.0",1,11/8/2022,11/8/2022,22016-10000-33744,Issued,22016-10000-33744,Issued,Bldg-Alter/Repair - Commercial,"eplan AT&T Mobility proposes to modify an existing wireless facility. The scope will consist of the following:ANTENNA LEVEL: -RELOCATE 2 PANEL ANTENNAS from POS 3-POS4/ 2 PANEL ANTENNAS from POS 4- POS 5 (1 per sector)-INSTALL 2 AIR 6419 B77G ANTENNAS/ HORIZONTAL UNINSTRUT MOUNT-Antenna edge to edge separation: 30""/12""/30""/36""EQUIPMENT LEVEL:INSTALL 1 (N) DC12 Surge Suppression Unit Mounted on (E) LTE equipment rack",15000,,,TBD,permit,TBD,TRUE
ca||los angeles||14071 w polk st 913420,CA,Los Angeles,United States,"14071 W POLK ST, 91342.0",1,11/4/2022,11/4/2022,22020-20000-02628,Permit Finaled,22020-20000-02628,Permit Finaled,Nonbldg-Alter/Repair - Commercial,"Install (6) new antennas, relocate all existing radios to antenna level, install (3) new surge suppressor units with (60 new DC and (3) new Fiber, install (2) new DC12 on existing H-Frame, remove UMTs TMA, paint all new antennas to match existing mono-pine, install new antenna socks, remove existing antenna mount and install new mount, remove and replace equipment within existing lease area.",30000,,,TBD,permit,TBD,TRUE
il||chicago||7033 s ashland ave,IL,Chicago,United States,7033 S ASHLAND AVE,2,10/5/2022,11/4/2022,"100995048, B100991284",,100995048,,PERMIT - RENOVATION/ALTERATION,"CELL SITE WORK: ANTENNA, (6) MOUNTING PIPES, (6) ANTENNA, (15) RRHS, (8) #6 DC CABLES, (2) 24 PAIR FIBER TRUNKS, (3) DC9-48-60-24-8C-EV, (1) 7100 DC CABINET WITH (11) RECTIFIERS, (2) CONVERTER MODULES, (2) STRINGS OF 12V160FT(AT&T MOBILITY SITE IL3713 ATC SITE 3245)",,,AMERICAN TOWER CORPORATION,TBD,permit,TBD,TRUE
tx||austin||11400 concordia university dr bldg d austin tx 787260,TX,Austin,United States,"11400 CONCORDIA UNIVERSITY DR BLDG D, AUSTIN TX 78726.0",4,11/3/2022,11/3/2022,"2023-016696 MP, 2023-016696 PP, 2023-016696 BP, 2023-016696 EP",Expired,2023-016696 MP,Expired,Mechanical Permit,Install new generator for building D data center and install (4) split systems AC units for data center and UPS room.,,,,TBD,permit,TBD,TRUE
wa||seattle||2701 26th ave sw seattle wa 981060,WA,Seattle,United States,"2701 26TH AVE SW, SEATTLE WA 98106.0",1,10/20/2022,10/20/2022,6927370-GR,Completed,6927370-GR,Completed,,Regrading and intermodal yard improvements at Port of Seattle T5  per plan.,1100000,"Laser Underground & Earthworks, Inc.",,TBD,permit,TBD,TRUE
ny||buffalo||339 rhode island,NY,Buffalo,United States,339 RHODE ISLAND,1,10/17/2022,10/17/2022,TRST22-9548949,,TRST22-9548949,,TOWERSATT,"<div>*** SPECIAL USE PERMIT for MARK FUENTES (518)306-1711 for WIRELESS COMMUNICATIONS for AT&amp;T in a N-2R ZONE ***</div><div><br></div>New installation of (9) antennas, (15) RRH's, (3) DC9 surge boxes, (9) DC cables, (3) fiber cables and other ancillary equipment.&nbsp; New installation of a steel frame with a small shelter (WIC) with a generator and a fence.<div>&nbsp;<br></div><div>*** LEGAL EASEMENT ATTACHED FOR EQUIPMENT TO BE PLACED ON 343 &amp; 345 RHODE ISLAND PRIOR TO THE ISSUANCE OF PERMIT ***<br></div><div>*** COMMON COUNCIL ***&nbsp;<br></div><div>*** ZBA&nbsp; ***<br></div><div><br></div><div>*** PLANS FILED THROUGH IDT ***</div>",65000,KEVIN DORAN,,TBD,permit,TBD,TRUE
ca||los angeles||5705 w 98th st 900450,CA,Los Angeles,United States,"5705 W 98TH ST, 90045.0",1,10/14/2022,10/14/2022,22020-10000-02457,Issued,22020-10000-02457,Issued,Nonbldg-New - Commercial,"ePlan. NEW WIRELESS FACILITY 35'X24' .  An unmanned telecommunications facility including the installation of: (1) 60'H screened tower, (15) antennas on (N) tower, (36) RRUS, (6) DC surge suppressors (DC9) at antenna level, (3) DC12 surge suppressors at ground level, (4) outdoor cabinets at ground level, (1) 20KW AC generator with 140 gal. total diesel fuel tank within CMU enclosure, (1) GPS antenna, power and telco panels and power, fiber, coax and telco runs.MEP under seperate permits",50000,,,TBD,permit,TBD,TRUE
il||chicago||7649 s state st,IL,Chicago,United States,7649 S STATE ST,1,10/14/2022,10/14/2022,100989596,,100989596,,PERMIT - RENOVATION/ALTERATION,"ANTENNA EQUIPMENT UPGRADE ON EXISTING TOWER TO INCLUDE AT THE ANTENA LEVEL: INSTALL (1) PROPOSED PERFECT VISION PV-LPPGS- 12M -HR2-AP19-AT PLATFORM W/ HANDRAILS, INSTALL (6) PROPOSED AT&T NNHA-65B-R6H4 ANTENNA, INSTALL (3) PROPOSED AT&T AIR 6449 N77D  ANTENNA, INSTALL (3) PROPOSED AT&T AIR 6419 N77G  ANTENNA, INSTALL (3) PROPOSED AT&T 4449 B5 B12 RRH,  INSTALL (3) PROPOSED AT&T 4415 B30 RRH, INSTALL (3) PROPOSED AT&T 4415 B25 RRH, INSTALL (3) PROPOSED AT&T 4478 B14 RRH, INSTALL (3) PROPOSED AT&T 8843 B2 B66A RRH, INSTALL (3) PROPOSED AT&T RAYCAP DC9-48-60-24-8C-EV, INSTALL (9) PROPOSED #6 AWG DC CABLES, INSTALL (2) PROPOSED 24 PAIR FIBER TRUNKS. FOR THE GROUND SPACE : INSTALL (1) DELTA ES0F030-HCU SERIES WUC WALK UP CABINET, INSTALL (1) KOHLER MODEL 20REOZK-C GENERATOR WITH A 105 GALLON TANK MOUNTED ON PLATFORM, INSTALL (1) PLATFORM, INSTALL BASEBAND (2) 6630 WITH MIXED MODE AND IDLE CABLE (1) 6648 WITH Y CABLE AND (1) 6601, (1) XMU, INSTALL (1) VERTIV F1011259 EDB PANEL.",,,AMERICAN TOWER,TBD,permit,TBD,TRUE
la||new orleans||241 bourbon st new orleans la 701120,LA,New Orleans,United States,"241 Bourbon St, New Orleans LA 70112.0",1,10/11/2022,10/11/2022,22-30621-VCGEN,VCC Hearing,22-30621-VCGEN,VCC Hearing,VCC General Work,"To renovate building as per Architecture Committee approvals of 12/06/2022, 02/28/2023, and 10/10/2023; and materials stamped VCC approved 04/18/2024. Work includes:_x000D_
•	Construction of new elevator penthouse near the Dauphine and Bienville corner of the property_x000D_
•	Conversion of one existing triple hung window to a new door matched in design to the existing window_x000D_
•	Welding additional steel to the existing outriggers with the bottoms of the new metal to be flush with the bottoms of the existing outriggers_x000D_
•	Construction of new rooftop mechanical rack near the Iberville and Dauphine corner of the property_x000D_
•	Extending the bottoms of the ground floor doors to account for the lowering of the interior floor to grade_x000D_
•	Installation of new tie back plates at first and second-floor levels. All plates to be round and painted to match the wall color_x000D_
_x000D_
_x000D_
As a change order to the permit originally issued on 04/18/2024:_x000D_
_x000D_
To reconfigure the ground floor fenestration of the Bourbon St. elevation as per Architecture Committee approval of 09/10/2024, Vieux Carre Commission review of 12/18/2024 and 02/19/2025, and materials stamped VCC approved 08/13/2025. Work includes:_x000D_
•	Demolishing the existing short opening_x000D_
•	Creating a total of three openings to be vertically aligned to the second-floor openings above and matching the adjacent existing door openings_x000D_
•	Installing new wood French doors to feature six lites over a single panel in each door below a three lite transom window_x000D_
•	All m",0,,,TBD,permit,TBD,TRUE
ca||los angeles||6829 n lankershim blvd 916050,CA,Los Angeles,United States,"6829 N LANKERSHIM BLVD, 91605.0",1,10/7/2022,10/7/2022,22016-20000-30262,Issued,22016-20000-30262,Issued,Bldg-Alter/Repair - Commercial,eplan  AT&T Wireless proposes making Modification to an existing facility consisting of the following:ANTENNA LEVEL:INSTALL 3 (N) Panel Antenna/ 1 (N) DC Squid/ 1 (N) Power TrunkEQUIPMENT LEVEL:INSTALL 1 (N) DC12,15000,,,TBD,permit,TBD,TRUE
tx||austin||9825 spectrum dr bldg 4 unit 400 austin tx 787170,TX,Austin,United States,"9825 SPECTRUM DR BLDG 4 UNIT 400, AUSTIN TX 78717.0",4,10/7/2022,10/7/2022,"2022-164968 PP, 2022-164968 BP, 2022-164968 MP, 2022-164968 EP",Final,2022-164968 PP,Final,Plumbing Permit,interior remodel existing data center/ admin office,,,,TBD,permit,TBD,TRUE
il||chicago||4099 w 71st st,IL,Chicago,United States,4099 W 71ST ST,1,9/30/2022,9/30/2022,B100990660,,B100990660,,PERMIT – EXPRESS PERMIT PROGRAM,AT &T ANTENNA UPGRADE. REMOVE  (3) COMMSCOPE-CBC78T-DS-43 TMAS.REMOVE(1)RAY CAP-DC6-48-60-18-8C.INSTALL (3)ERICSSON-AIR 6419 B77G ANTENNAS INSTALL (1) RAYCAP DC9-48-60-24-8C EV SQUID. INSTALL(1)DC CABLE,,,MASTEC NETWORK SOLUTION LLC,TBD,permit,TBD,TRUE
il||chicago||5757 w 59th st,IL,Chicago,United States,5757 W 59TH ST,1,9/27/2022,9/27/2022,B100990201,,B100990201,,PERMIT – EXPRESS PERMIT PROGRAM,"REMOVE UMTS DUPLEXER FROM P4 AND PLUMB FNET TO P4 ANTENNA ON ALL SECTORS, (1) DC6 SQUID, (1) 18 PAIR FIBER TRUNK. INSTALL 2ND FIBER & SFP3 ON 4478 B5, UPDATE SFP ON RRUS-32 B66 ON ALL SECTORS, SLIDE C BAND ANTENNA DOWN, INSTALL DOD 6419 ANTENNA . INSTALL (1) DC9-48-60-24-8C-EV SQUID, (1) #6  AWG TRUNKS, (1) 24 PAIR FIBER TRUNK. REMOVE(1)DC 6-48-60-18-8C, (1)18 PAIR FIBER TRUNK. REPLACE POWER PLANT WITH 7100,INSTALL 12 RECTIFIERS, ADD REMOVE SOME OTHER ANTENNA ACCESSORIES TO UPGRADE THE ANTENNA.",,,MASTEC NETWORK SOLUTION LLC,TBD,permit,TBD,TRUE
ca||san francisco||725 greenwich st 941330,CA,San Francisco,United States,"725 Greenwich St, 94133.0",1,9/26/2022,9/26/2022,2.02209E+11,complete,2.02209E+11,complete,otc alterations permit,"remove and replace 6 antennas, remove 1 antenna shroud and replace 6 new rear antenna shrouds, 4 kicker at sec c, 3 dc6 awg dc power trunks,add 3 dc6 surge suppressors, remove 1 duw from e purcell caabin, remove 4 155h lead batteries from e cabinet. install rectifiers e cab and new rf safety signs,",55000,,,TBD,permit,TBD,TRUE
ca||san francisco||766 vallejo st 941330,CA,San Francisco,United States,"766 Vallejo St, 94133.0",1,9/26/2022,9/26/2022,2.02209E+11,complete,2.02209E+11,complete,otc alterations permit,"at&t modification remove 9 antennas, install 6 antennas pipe mounts, r/r 6 rrus; install3 dc 9 boxes & 6 power trunks 3 fiber, remove 2 cabinets & add 1 new w/4 new 155ah load batteries; remove 9 tma's & 7/8 "" cabling; install 2 rectifiers in (e) dcpp, 2 new dc12 on (e) frame, 1 new 6648 to 6630 bbu",75000,,,TBD,permit,TBD,TRUE
ca||los angeles||6551 unknown street name 910420,CA,Los Angeles,United States,"6551 UNKNOWN STREET NAME, 91042.0",1,9/15/2022,9/15/2022,22014-20000-04604,Permit Finaled,22014-20000-04604,Permit Finaled,Nonbldg-Alter/Repair - Commercial,EPLAN AT&T wireless proposes to modify an existing wireless installation.- remove (9) panel antennas- install (2) stacked antennas- install (2) panel antennas- remove (1) base band unit - relocate WCS radio- install (4) radio units- remove all existing RRUS-11- remove all existing RRUS-12- remove all TMA/diplexers- install CBC78T-DS-43 to combine B17/B5- install DC6 surge suppressor- extend existing mount to achieve separation- remove (1) battery cabinet- remove (1) power plant- remove (4) existing RRUW-01- install (1) new DC power plant- install (9) new rectifiers- install (8) new 180AH batteries,40000,,,TBD,permit,TBD,TRUE
il||chicago||4036 s western ave,IL,Chicago,United States,4036 S WESTERN AVE,1,9/14/2022,9/14/2022,B100988482,,B100988482,,PERMIT – EXPRESS PERMIT PROGRAM,INSTALL 3 PV-RM1045 RING MOUNTS; (12) ANTENNAS; (3) 4449 RRHS; (6) 4415 RRHS; (3) 4478 RRHS; (3) 8843 RRHS; (3) RAYCAP DC9-48-60-24-8C-EV; (9) #6 DC CABLES; (2) 24 PAIR FIBER TRUNKS; (1) WUC WITH (1) CD POWER; (11) RECTIFIERS; (2) CONVERTER MODULES; (2) STRINGS OF BATTERIES; (1) 105 GAL. GENERATOR ON APPROVED PLATFORM; (1) PLATFORM; (1) MIXED MODE MODULE; (1) LTE MODULE; (1) XMU MODULE; (1) IDLE CABLE; AND (1) C-BAND MODULE - INSTALL DC12-48-60-0-25E ON WUC,,,"VELEX, INC.",TBD,permit,TBD,TRUE
il||chicago||725 s wells st,IL,Chicago,United States,725 S WELLS ST,1,9/12/2022,9/12/2022,100975945,,100975945,,PERMIT - RENOVATION/ALTERATION,SPR 2019 CBRC: REVISION TO PERMIT #100888671 TO RECONFIGURE MECHANICAL SYSTEMS RECONFIGURATION & ASSOCIATED STRUCTURAL ROOFTOP STEEL AT EXISTING BUSINESS DATA CENTER AS PER PLANS. 1A CONSTRUCTION. B-BUSINESS,,,"725S. WELLS STREET OWNER, LLC",TBD,permit,TBD,TRUE
